Model,Mean Training Time (s),Mean Testing Time (s),Mean Accuracy
SVM,94.79975396792094,0.6706748882929484,0.6917613920464015
Random Forest,60.0382171312968,0.06255003611246744,0.7062741377093523
KNN,0.0030107418696085613,0.10144218603769938,0.7328980013619503
Naive Bayes,0.0420216957728068,0.023390928904215496,0.5006007343101913
AdaBoost,358.7318244457245,0.055445774396260576,0.715007047853976
