,precision,recall,f1-score,support
0,0.7889344262295082,0.42920847268673357,0.555956678700361,897.0
1,1.0,0.05,0.09523809523809523,100.0
2,0.6670372429127293,0.9266409266409267,0.7756948933419522,1295.0
accuracy,0.693717277486911,0.693717277486911,0.693717277486911,0.693717277486911
macro avg,0.8186572230474125,0.4686164664425534,0.4756298890934694,2292.0
weighted avg,0.7292702486474054,0.693717277486911,0.6600095275723654,2292.0
