,precision,recall,f1-score,support
0,0.7069555302166477,0.6911928651059086,0.6989853438556933,897.0
1,0.35,0.07,0.11666666666666667,100.0
2,0.7591397849462366,0.8177606177606178,0.787360594795539,1295.0
accuracy,0.7356020942408377,0.7356020942408377,0.7356020942408377,0.7356020942408377
macro avg,0.6053651050542949,0.5263178276221755,0.5343375351059664,2292.0
weighted avg,0.7208661134859116,0.7356020942408377,0.7235115577510673,2292.0
