Training Times,Testing Times,Fold Accuracies
0.0,0.2659482955932617,0.7382769901853872
0.00400853157043457,0.095947265625,0.7470010905125409
0.0,0.11365604400634766,0.7273718647764449
0.0,0.11158514022827148,0.7262813522355507
0.0,0.11681842803955078,0.7153762268266085
0.0,0.1167149543762207,0.740174672489083
0.0038759708404541016,0.09734940528869629,0.7281659388646288
0.0,0.10439538955688477,0.7150655021834061
0.005760669708251953,0.09119629859924316,0.740174672489083
0.0009968280792236328,0.09671306610107422,0.7510917030567685
0.004000425338745117,0.09893083572387695,0.7382769901853872
0.0,0.08751511573791504,0.7470010905125409
0.0039997100830078125,0.08630228042602539,0.7273718647764449
0.00400090217590332,0.08517193794250488,0.7262813522355507
0.004996061325073242,0.09405732154846191,0.7153762268266085
0.0029993057250976562,0.08340215682983398,0.740174672489083
0.003996610641479492,0.0884850025177002,0.7281659388646288
0.006356477737426758,0.08927297592163086,0.7150655021834061
0.006221294403076172,0.08422136306762695,0.740174672489083
0.0039446353912353516,0.08581018447875977,0.7510917030567685
0.0040018558502197266,0.0881035327911377,0.7382769901853872
0.0060002803802490234,0.09761476516723633,0.7470010905125409
0.0,0.10269927978515625,0.7273718647764449
0.004000186920166016,0.09335184097290039,0.7262813522355507
0.0048787593841552734,0.09120965003967285,0.7153762268266085
0.0019965171813964844,0.09836006164550781,0.740174672489083
0.005999326705932617,0.0915381908416748,0.7281659388646288
0.0029990673065185547,0.09453749656677246,0.7150655021834061
0.005288839340209961,0.0952143669128418,0.740174672489083
0.0,0.09714293479919434,0.7510917030567685
