Training Times,Testing Times,Fold Accuracies
0.04911971092224121,0.025795698165893555,0.514721919302072
0.03835010528564453,0.0102386474609375,0.4994547437295529
0.03483438491821289,0.01210784912109375,0.5038167938931297
0.03567838668823242,0.027498960494995117,0.4961832061068702
0.05032229423522949,0.02129340171813965,0.4830970556161396
0.037172794342041016,0.016162872314453125,0.5021834061135371
0.03029036521911621,0.028058767318725586,0.490174672489083
0.04134392738342285,0.016446590423583984,0.4912663755458515
0.04726815223693848,0.03162431716918945,0.49890829694323147
0.058184146881103516,0.021312475204467773,0.5262008733624454
0.03663182258605957,0.030636072158813477,0.514721919302072
0.04096198081970215,0.017986297607421875,0.4994547437295529
0.041448116302490234,0.015791654586791992,0.5038167938931297
0.050127267837524414,0.0158994197845459,0.4961832061068702
0.0471959114074707,0.016458988189697266,0.4830970556161396
0.0510258674621582,0.02970576286315918,0.5021834061135371
0.04091072082519531,0.01619863510131836,0.490174672489083
0.045459747314453125,0.027819156646728516,0.4912663755458515
0.041020870208740234,0.035346269607543945,0.49890829694323147
0.03573894500732422,0.03603482246398926,0.5262008733624454
0.030501127243041992,0.026433229446411133,0.514721919302072
0.044020891189575195,0.019353866577148438,0.4994547437295529
0.04993700981140137,0.02439713478088379,0.5038167938931297
0.03895711898803711,0.026507854461669922,0.4961832061068702
0.055031776428222656,0.02687382698059082,0.4830970556161396
0.04300880432128906,0.030521869659423828,0.5021834061135371
0.039916276931762695,0.032473087310791016,0.490174672489083
0.04261660575866699,0.015413522720336914,0.4912663755458515
0.03337860107421875,0.01592087745666504,0.49890829694323147
0.0301971435546875,0.03141593933105469,0.5262008733624454
