Training Times,Testing Times,Fold Accuracies
360.3187575340271,0.06250429153442383,0.7022900763358778
359.09271717071533,0.0468902587890625,0.7001090512540894
358.27800989151,0.047278642654418945,0.7121046892039259
359.35882234573364,0.06666970252990723,0.7219193020719739
356.7306776046753,0.062497854232788086,0.6990185387131952
359.10763120651245,0.047269344329833984,0.7336244541484717
358.9834351539612,0.04694700241088867,0.7205240174672489
359.2963795661926,0.04758620262145996,0.7085152838427947
357.8223662376404,0.04754781723022461,0.7368995633187773
359.6105875968933,0.04687213897705078,0.7150655021834061
359.06718945503235,0.06250715255737305,0.7022900763358778
359.9033362865448,0.06250309944152832,0.7001090512540894
357.7999176979065,0.06250381469726562,0.7121046892039259
358.5716869831085,0.04687356948852539,0.7219193020719739
358.20008301734924,0.06252861022949219,0.6990185387131952
357.7269866466522,0.06250190734863281,0.7336244541484717
358.9992644786835,0.04696989059448242,0.7205240174672489
358.7231285572052,0.06250190734863281,0.7085152838427947
357.70350551605225,0.046514272689819336,0.7368995633187773
358.1490886211395,0.04691362380981445,0.7150655021834061
357.16520285606384,0.04731297492980957,0.7022900763358778
358.67600560188293,0.0625007152557373,0.7001090512540894
358.419429063797,0.06291818618774414,0.7121046892039259
359.8309338092804,0.06249690055847168,0.7219193020719739
357.5473885536194,0.046875715255737305,0.6990185387131952
360.7282898426056,0.06249833106994629,0.7336244541484717
359.41234040260315,0.06250381469726562,0.7205240174672489
359.3276832103729,0.0625004768371582,0.7085152838427947
358.32483887672424,0.0625002384185791,0.7368995633187773
359.07904958724976,0.046884775161743164,0.7150655021834061
