,precision,recall,f1-score,support
0,0.856396866840731,0.3656633221850613,0.5125,897.0
1,1.0,0.05,0.09523809523809523,100.0
2,0.6544117647058824,0.9621621621621622,0.7789934354485777,1295.0
accuracy,0.6889179755671903,0.6889179755671903,0.6889179755671903,0.6889179755671903
macro avg,0.8369362105155377,0.4592751614490745,0.4622438435622243,2292.0
weighted avg,0.7485389288177371,0.6889179755671903,0.6448659722642747,2292.0
