,precision,recall,f1-score,support
0,0.6847826086956522,0.7725752508361204,0.7260345730749084,897.0
1,0.11607142857142858,0.26,0.16049382716049382,100.0
2,0.8039772727272727,0.6555984555984556,0.7222458528285836,1295.0
accuracy,0.6841186736474695,0.6841186736474695,0.6841186736474695,0.6841186736474695
macro avg,0.5349437699981179,0.5627245688115253,0.5362580843546619,2292.0
weighted avg,0.7273157552526008,0.6841186736474695,0.6992193604612819,2292.0
