,precision,recall,f1-score,support
0,0.4786096256684492,0.798216276477146,0.598412035102382,897.0
1,0.07692307692307693,0.11,0.09053497942386832,100.0
2,0.7289433384379785,0.3675675675675676,0.4887063655030801,1295.0
accuracy,0.524869109947644,0.524869109947644,0.524869109947644,0.524869109947644
macro avg,0.4281586803431683,0.4252612813482379,0.3925511266764435,2292.0
weighted avg,0.6025247666640876,0.524869109947644,0.514268689683993,2292.0
